id,src,dst,time
102173,45289,18131,2012
92737,29616,17118,2009
88725,50183,40809,2009
95827,51188,5706,2015
94822,21403,26981,2012
96866,8169,4441,2012
95290,39138,1802,2007
92822,40855,34136,2010
93194,45199,36758,2009
99356,31625,48411,2009
102133,25472,24576,2008
102686,48843,16049,2011
102564,27325,26636,2014
87495,33350,33338,2015
99611,3178,37152,2013
96594,45619,28627,2009
95900,5410,52995,2009
99096,35356,3779,2012
100204,27997,45311,2005
94741,20616,12640,2015
88713,42633,22529,2006
91695,25992,50034,2014
89702,26746,37297,2014
88494,23340,21583,2014
100233,50582,13396,2013
101596,5699,2640,2013
90253,42572,21485,2013
95826,51188,51874,2015
88412,46941,17683,2004
85986,32267,40809,2007
102983,34900,38118,2007
96961,16106,53300,2012
92349,14775,26129,2014
95649,38235,47918,2004
87463,31806,25793,2015
89149,50491,22761,2009
89874,11180,5065,2014
90700,46316,18838,2014
96660,48194,28239,2001
91521,1124,2898,2014
86618,18269,14921,2014
92336,40060,19652,2010
87957,35923,1237,2014
96176,8937,47461,2013
94785,52585,10190,2015
90093,47935,32385,2015
96857,4252,7404,2011
97706,21059,47220,2014
96154,46595,1940,2013
88099,7028,21377,2005
94654,34836,13938,2013
93417,46113,43235,2006
97119,28435,50918,2015
90957,21202,34724,2009
91172,21852,49823,2015
86573,8700,35830,2002
101781,47791,34502,2013
93453,33364,11647,2015
96422,47737,32806,2013
94179,44378,43283,2012
101250,11479,17783,2006
95449,5271,21056,2013
88567,19386,14833,1994
101920,27613,45767,2013
101552,49120,19047,2013
90308,21741,51633,2014
93745,42967,25908,2011
102684,18269,16049,2011
99895,26409,21090,2001
86282,14896,21234,2012
97223,24373,44039,2003
96382,50228,51782,2014
96297,39168,34239,2008
91940,50645,23335,2015
93314,9258,5859,2015
90472,40988,51953,2014
95687,13567,18155,2014
101248,37259,21377,2006
93519,7329,36517,2011
92915,31145,25116,2015
92516,21233,21395,2011
96732,18762,39613,2010
97704,49448,21377,2014
94344,21439,23463,2008
97461,17205,53616,2008
92068,40053,46824,2010
96856,4252,43214,2011
93929,39863,4837,2012
102791,21382,36517,2015
90630,15586,18838,2014
90910,38002,2228,2003
100006,27028,5325,2013
87753,50616,49884,2013
96257,25994,37071,2011
102380,22771,43948,2010
99496,7154,29230,2013
89721,9510,22648,2008
93368,20929,28502,2002
101283,51512,43362,2012
98181,15392,48393,2014
