id,src,dst,time
147648,44808,23151,2005
143270,2705,29271,2011
147579,23532,22952,2010
141849,25854,21477,2012
144811,28257,28323,2014
142901,51899,46078,2012
151085,42373,37663,2000
146601,14670,23077,2006
142836,49661,22552,2015
149480,9904,25703,2011
143818,41692,28193,2006
150125,28788,39361,2003
150646,16443,17873,2014
145031,53306,44550,2012
145196,20163,38740,2015
145916,26689,50971,2008
142126,53306,30650,2013
141931,48447,31268,2013
143208,8703,46586,2008
148391,4488,6534,2015
142212,20238,12177,2006
148898,9248,38457,2006
143498,22432,5241,2001
142152,271,51473,2012
146866,40612,24510,2012
141899,13595,18669,2012
142693,46126,9626,2014
151797,42848,18878,2006
149131,34543,50970,2012
150127,7901,15261,2010
147925,124,22288,2011
144772,20455,38740,2004
146354,34312,30445,2009
142528,32796,9229,2012
141882,22888,23049,2013
147547,30402,37474,2004
148113,19851,5726,2012
147461,21477,46046,2007
146564,12335,40470,2013
145568,23291,39200,2015
151001,19154,30650,2014
149738,40829,31577,2012
145175,14357,13544,2002
143898,1962,48109,2012
148716,10236,39373,2014
147222,5951,47447,2006
146766,50690,13156,2009
150064,35622,53134,1991
149493,15469,10013,2003
148591,40133,29000,2014
145121,28841,3434,2013
145831,42977,42685,2012
148808,23604,41195,2014
144398,42086,45592,2014
147517,52483,36105,2015
150171,6810,3001,2015
145233,4784,19951,2006
144696,20238,39850,2008
145858,27505,35829,2006
146121,50685,43843,2013
142578,14939,6419,2003
147036,30265,37927,2013
150097,52654,49334,2003
144912,31318,18832,2006
149660,2768,22498,2008
143012,13912,18566,2000
146787,52794,31697,1989
150798,48829,6324,2007
145899,27195,23966,2006
146436,9530,49195,2001
145385,40065,25327,2015
147620,49865,22552,2014
143430,10526,9115,2000
146082,16188,22696,2014
148710,9086,166,1999
147498,39999,30537,2005
144700,11962,15797,2014
150914,41684,6454,2009
148773,33470,35636,2010
149080,48102,14932,2011
143107,51098,52986,2012
144406,44502,33627,2013
151656,27217,26644,2015
150541,51050,36762,2014
145159,23704,45644,2014
144954,15767,10372,2012
147160,18791,38235,2014
151719,10182,46586,2013
147938,6906,2527,2015
148659,24199,18448,2007
145608,52211,47049,2013
143384,46886,28162,2015
144088,5484,40107,2007
143714,10540,49389,2009
146586,16508,9219,1997
147282,46001,3700,2005
144052,6055,20546,2013
147411,388,42139,1991
145052,52526,35174,2013
151574,12553,25703,2011
